SampleID,S3,S5,S9,S12,S14,S15,S16,S1235,S28,S30,S31,S32,S33,S37,S38,S39,S41,S1236,S45,S49,S51,S53,S55,S59,S1239,S66,S70,S81,S83,S88,S89,S92,S95,S98,S1243,S105,S107,S108,S110,S113,S117,S118,S134,S135,S136,S1248,S139,S140,S147,S148,S149,S152,S1251,S162,S172,S173,S1252,S174,S175,S178,S180,S185,S190,S208,S209,S212,S1253,S1254,S219,S220,S1255,S229,S231,S236,S1258,S238,S241,S1259,S254,S255,S259,S260,S267,S269,S270,S273,S280,S282,S288,S289,S290,S300,S303,S306,S307,S319,S324,S327,S332,S338,S345,S347,S353,S363,S364,S366,S367,S372,S374,S380,S387,S388,S1272,S390,S391,S392,S394,S395,S397,S400,S401,S403,S405,S413,S418,S421,S1278,S430,S431,S436,S437,S441,S448,S1280,S451,S455,S1283,S462,S464,S467,S1285,S485,S491,S492,S494,S498,S1293,S499,S503,S505,S509,S515,S521,S524,S526,S530,S537,S538,S540,S543,S545,S547,S549,S550,S551,S553,S558,S565,S570,S573,S1302,S575,S578,S582,S585,S594,S597,S602,S610,S1308,S615,S621,S1309,S625,S630,S1316,S645,S648,S1319,S650,S655,S656,S1320,S658,S659,S1321,S660,S661,S662,S663,S664,S667,S669,S673,S676,S678,S681,S1323,S687,S692,S698,S701,S1330,S708,S711,S716,S720,S725,S726,S734,S735,S740,S746,S1337,S752,S753,S756,S1338,S759,S764,S766,S768,S774,S776,S779,S784,S789,S790,S793,S795,S810,S812,S819,S824,S828,S832,S838,S840,S853,S866,S867,S1351,S883,S890,S892,S902,S903,S905,S920,S932,S942,S943,S963,S967,S968,S969,S973,S975,S976,S977,S997,S1000,S1007,S1010,S1012,S1017,S1371,S1372,S1039,S1045,S1378,S1058,S1060,S1081,S1082,S1092,S1102,S1112,S1114,S1119,S1131,S1136,S1144,S1153,S1156,S1159,S1160,S1162,S1185,S1402,S1403,S1404,S1197,S1200,S1407,S1217,S1221,S1222
Lactobacillus,13318,13192,10906,10153,12877,13578,13562,12154,13523,13217,13241,12702,12387,12726,13535,13267,13355,13535,13435,13453,13517,13468,12872,13535,13545,13621,13164,11728,12835,13462,12111,13498,13356,13305,13021,13197,13274,13516,13453,13570,13578,13348,13480,13584,13436,13612,13079,13559,13054,13258,12650,13576,13266,13565,13580,13545,10731,13251,13415,10102,13367,12616,13249,13327,13496,13119,13202,13575,13565,13411,12788,13242,13154,13040,12776,13596,13489,13578,13416,11836,13560,13558,13460,13395,13375,13482,13543,13255,12888,12919,13180,13388,12878,13412,13468,13611,13508,13542,13618,11640,13324,13040,12772,13485,13507,13439,13539,13546,13523,13507,13400,13438,13521,13563,13322,13585,13564,13594,13593,13368,13493,13532,13454,13182,13359,11542,13394,13403,13462,13395,13573,12484,13568,13508,13547,13562,13441,13446,12226,13524,13393,13309,13304,13411,13275,13389,13445,13434,13468,13583,13054,13541,13581,12603,13492,13649,12934,13462,13491,13580,13562,13563,13371,13360,13559,12958,13566,13557,13537,13576,13441,13454,13512,13387,13567,13341,13311,13513,13288,13121,13387,13152,13626,13329,12792,13525,13408,13526,13599,13374,13572,13526,13408,13538,13538,13424,13555,13550,13125,13421,13549,13494,13467,13589,13587,13533,13095,13450,13069,13419,13585,13561,13466,13338,12904,13501,13428,13590,13555,13409,13554,13287,12749,13530,13537,13522,13591,13566,13404,13523,13519,13283,13532,13505,13450,13430,13491,13591,13550,13505,13467,13561,13353,13575,13395,13481,13443,13489,13559,12013,13435,13364,13443,13392,13602,13295,13090,13597,13112,13314,13359,13628,13496,13398,13595,13342,13217,13544,13522,13440,13541,13594,13438,13540,13485,13140,13000,12618,13515,13546,13511,13392,12929,13523,13540,13472,12023,13637,13550,13544,13342,13530,13458,13466,13560,13574,13127,13134,13092,12793,13557,13475,13479,13282,13525,13523,13219,13425
Gardnerella,16,7,213,9,4,3,5,377,4,2,279,6,839,6,16,17,3,19,8,2,4,10,648,5,5,4,3,84,6,1,6,6,4,1,475,5,4,3,3,4,7,12,7,7,6,0,23,7,215,286,244,6,6,2,0,3,8,369,3,5,9,6,9,3,39,10,3,3,4,120,162,164,21,277,11,4,38,19,7,1477,4,1,89,29,9,8,33,5,95,653,2,170,5,11,102,19,0,1,5,30,2,15,11,21,17,34,41,19,27,13,31,121,20,16,198,33,11,14,12,30,17,23,23,26,118,64,17,19,22,41,21,387,33,23,17,20,26,24,82,44,23,25,94,19,170,21,15,20,23,5,49,17,18,44,114,0,74,77,26,18,18,19,24,23,16,37,7,35,23,18,108,31,17,37,41,8,32,36,29,1,17,24,1,25,37,12,17,63,19,23,14,34,74,18,46,1,10,17,455,17,14,50,46,16,10,38,57,14,31,35,21,11,92,24,207,23,15,14,11,99,32,18,19,63,24,23,16,25,22,18,18,17,14,33,21,171,15,16,15,17,67,12,23,15,50,11,24,5,20,15,72,19,26,38,14,60,24,15,286,12,47,4,19,66,20,21,181,32,13,18,18,8,34,33,9,28,22,742,29,15,8,87,15,20,38,17,0,0,16,16,42,27,36,13,20,17,19,22,146,645,20,46,63,62,17,15,368,25
Prevotella,9,91,3,4,49,3,5,8,0,23,2,23,21,0,9,4,2,0,2,3,0,44,2,4,5,0,173,11,2,0,1,14,5,2,15,30,14,3,5,1,3,15,4,2,0,2,4,1,1,0,175,1,4,2,0,6,1626,2,10,8,1,186,11,4,18,139,12,1,5,1,379,82,7,37,25,8,8,4,5,39,2,9,15,18,1,5,2,1,8,1,4,3,2,96,2,0,22,2,2,1,1,167,206,0,3,2,1,2,20,12,6,4,7,0,7,2,3,3,5,3,3,2,5,5,8,12,2,10,1,3,1,7,2,5,4,3,8,8,696,5,7,7,4,3,4,61,4,10,2,1,22,1,0,13,4,1,7,5,0,0,9,5,3,0,4,137,2,4,2,1,9,5,35,3,0,1,3,1,7,22,0,6,0,4,53,5,6,4,2,2,5,4,6,5,6,0,1,2,2,1,3,3,7,2,4,4,6,5,6,4,1,2,9,0,156,19,4,3,2,1,5,7,9,6,2,2,0,4,7,3,22,51,7,6,6,0,9,3,18,35,7,5,0,4,3,53,5,1,5,95,15,72,2,1,2,8,5,4,2,17,2,1,3,21,1,2,59,2,3,3,3,1,2,6,14,10,280,18,2,0,0,2,0,6,2,21,467,0,1,12,4,9,10,0,2,2,19,6,230,2,1,31,4,8,6,6,2,11
Streptococcus,0,17,6,2,129,2,7,3,1,0,4,87,9,1,3,4,6,4,5,6,43,5,1,2,6,5,3,1795,12,0,16,2,1,4,8,1,1,6,5,2,2,6,25,10,4,4,2,1,0,5,3,3,5,2,0,1,314,1,2,9,0,37,13,4,3,2,11,2,0,6,0,3,4,6,4,3,6,0,50,3,4,6,1,5,0,2,4,1,1,4,2,3,6,2,0,0,3,3,4,12,2,4,2,11,5,7,11,2,3,2,15,15,1,6,4,0,6,2,2,3,8,6,8,5,15,1,6,20,1,0,0,4,16,0,5,4,2,1,4,0,5,4,3,3,1,2,2,17,1,0,21,9,7,0,2,0,5,8,10,6,0,0,2,4,6,16,2,6,11,3,3,1,7,6,0,5,10,11,3,3,5,0,0,17,8,1,33,5,1,8,9,1,10,1,0,0,7,8,6,5,4,4,10,18,2,5,2,2,6,15,1,4,5,8,7,1,9,3,2,2,2,12,7,3,4,7,6,5,7,4,12,8,3,3,9,0,2,4,3,3,8,4,6,7,0,14,2,0,1,7,0,29,1,4,0,0,2,7,5,13,9,0,0,5,1,10,11,6,7,4,5,5,6,0,22,5,35,14,4,0,3,4,6,0,7,15,118,0,1,3,5,6,16,2,8,6,438,14,5,10,1,4,1,20,1,4,1,4
Atopobium,3,2,1,1,2,4,0,1,4,6,0,1,78,1,7,2,0,7,1,4,2,2,2,1,1,2,5,3,1,2,2,2,1,1,2,3,1,3,0,0,0,4,2,1,3,0,1,0,3,0,44,1,0,0,0,2,59,1,2,1,2,2,11,0,6,5,2,1,3,3,16,4,1,13,2,1,3,3,1,141,4,0,0,0,2,1,3,1,1,1,0,1,0,3,3,0,0,1,1,3,1,3,11,1,4,7,3,6,6,4,6,9,6,7,9,8,8,7,3,5,4,6,5,5,14,2,3,12,4,11,7,12,12,5,4,12,6,12,23,9,15,6,12,13,4,8,3,12,8,3,14,1,11,3,3,0,12,7,7,10,7,8,6,9,3,123,8,5,1,5,15,4,16,10,8,6,8,5,5,0,6,6,0,15,16,2,5,5,4,13,7,10,16,8,8,2,6,4,10,6,15,4,14,11,2,13,4,4,3,13,7,7,16,6,15,6,2,4,10,8,7,3,11,8,14,11,4,15,2,4,15,2,5,4,4,0,4,11,5,5,4,13,8,14,6,14,6,0,6,17,0,5,6,4,5,4,1,8,10,6,25,0,6,5,6,3,4,3,3,3,6,7,11,6,12,12,9,47,10,0,7,7,6,7,9,11,658,0,8,2,25,7,18,9,2,3,5,16,6,3,6,7,6,20,6,8,9,6
Sneathia,16,0,1,1,0,2,1,0,0,3,3,0,1,0,14,0,0,0,2,2,0,1,1,2,0,0,0,0,2,2,0,3,4,1,0,6,0,1,0,0,1,4,2,1,2,0,0,0,0,1,81,2,0,0,0,0,1,3,0,1,2,0,0,0,0,5,0,0,1,3,3,1,1,1,6,0,0,4,1,2,1,1,0,0,0,0,0,0,2,4,2,0,0,0,0,3,0,0,0,1,0,1,2,1,0,0,3,1,1,1,0,0,1,0,1,0,1,0,4,2,0,0,1,0,0,8,0,4,1,0,2,0,0,0,1,1,1,0,1,0,0,0,3,1,0,2,1,0,2,3,2,2,0,3,0,0,7,2,0,0,1,2,0,0,0,0,1,2,1,1,3,0,0,0,0,0,1,1,2,0,1,1,0,0,2,1,0,0,1,0,0,2,0,2,2,0,0,0,0,2,3,0,0,1,3,0,2,2,0,4,1,0,0,0,18,0,2,0,1,2,1,3,74,0,1,0,2,1,2,1,0,2,2,0,2,0,1,0,0,0,2,0,0,1,0,0,1,0,1,59,0,1,0,0,0,3,0,0,1,2,2,0,0,2,0,5,3,0,1,2,0,0,1,2,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,4,0,1,0,0,2,1,0,1,3,0,2,0,13,0,1,0,0
Escherichia_Shigella,0,0,16,2,2,0,1,0,1,1,1,1,27,1,0,1,0,0,0,0,2,0,0,1,1,0,3,0,1,0,0,3,1,6,1,14,2,0,3,0,2,4,6,2,1,0,1,1,0,0,2,0,0,0,0,0,39,2,3,1,4,1,1,5,0,0,1,28,0,1,0,0,1,0,1,2,1,0,3,0,0,3,0,2,0,2,0,1,11,0,4,2,2,1,0,0,16,1,0,3,0,2,0,0,3,19,0,0,9,24,26,4,5,0,6,0,8,8,4,65,0,5,0,26,8,424,6,1,0,0,5,6,4,10,6,3,0,0,21,2,3,16,14,3,30,93,11,12,6,5,31,0,4,75,0,1,82,6,6,6,1,5,3,98,1,11,0,1,2,4,12,31,0,42,0,11,5,1,76,2,18,12,2,7,37,5,4,3,4,1,2,4,17,3,1,27,5,0,3,8,3,1,2,3,5,2,44,16,44,28,0,4,1,15,8,7,0,2,0,4,0,64,1,3,2,1,3,4,0,1,6,2,14,6,0,0,31,4,6,4,0,1,4,1,0,6,16,5,9,9,12,1,82,4,0,10,70,5,17,9,12,0,8,1,0,37,0,1,1,6,2,7,4,5,13,125,9,13,4,0,17,9,11,6,5,6,65,0,6,6,17,2,9,3,0,0,4,8,13,4,0,9,6,25,21,0,2,3
Bifidobacterium,0,1,2,0,0,0,2,1,0,0,3,1,4,3,0,0,11,0,1,0,0,0,0,1,1,0,0,0,2,0,0,0,1,0,3,0,0,0,2,2,2,2,0,2,2,0,0,0,1,0,0,0,3,0,0,0,0,2,0,3,3,0,2,0,0,1,0,0,0,0,3,3,0,0,3,0,0,1,2,0,0,0,0,1,1,0,2,1,0,0,0,0,1,0,1,3,0,0,0,1,0,0,0,5,1,0,5,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,1,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,1,43,0,8,6,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,2,3,4,1,0,0,0,0,0,0,10,0,0,0,0,4,0,0,1,0,0,0,5,1,0,7,2,6,4,0,3,0,2,0,6,0,0,0,0,0,0,0,0,0,0,3,0,1,0,7,0,0,0,0,0,0,0,0,0,5,4,3,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,217,0,0,1,0,0,0,0,4,6,1,0,0,6,0,3,0,0,0,0,0,0
Ureaplasma,127,0,228,2,0,40,0,42,1,0,66,5,11,10,1,28,0,10,0,40,1,15,103,1,3,1,0,15,420,153,0,3,0,220,45,0,1,0,30,0,8,0,7,2,2,0,13,0,256,17,90,0,221,4,2,0,1,0,0,0,0,0,53,34,62,2,2,0,7,0,200,51,0,0,0,7,1,1,34,62,1,24,1,4,0,3,3,14,78,20,423,24,13,0,0,0,4,45,14,5,1,3,3,15,0,0,4,0,3,9,13,4,3,2,34,0,0,0,1,1,1,35,13,0,7,1,3,108,2,0,0,31,0,25,3,1,1,17,0,16,1,1,10,0,5,1,31,0,0,0,2,0,0,3,0,0,1,0,20,0,0,1,17,1,0,1,2,0,0,0,0,34,0,4,2,101,16,1,38,0,4,86,9,5,2,0,146,1,0,0,0,4,1,0,1,0,2,1,16,1,0,4,0,2,6,9,2,16,0,0,0,0,1,1,1,0,0,1,0,22,1,0,472,1,0,39,0,0,0,2,2,0,1,23,4,1,1,5,7,12,8,6,3,3,1,20,8,6,13,83,5,3,3,5,0,168,0,0,29,120,1,1,3,6,1,2,20,3,1,0,0,0,50,5,11,0,0,12,1,0,1,0,1,8,1,12,19,1,1,1,11,8,1,3,3,3,2,2,2,16,0,1,22,1,0,1,2,2
Aerococcus,0,2,3,0,1,1,7,1,0,1,10,0,2,0,2,1,1,0,8,2,0,2,0,2,5,2,1,0,7,0,0,0,0,1,9,1,2,1,9,0,8,8,0,10,7,1,1,0,1,1,0,1,9,1,0,0,0,0,0,8,2,1,6,3,1,4,1,2,0,1,1,1,7,4,0,2,1,0,4,5,0,1,0,0,0,1,8,0,1,0,1,1,5,0,0,0,0,1,0,13,1,1,3,5,9,2,6,3,5,9,7,1,2,3,5,2,3,0,12,5,7,5,3,8,0,0,5,0,2,4,3,7,0,5,9,0,2,2,7,4,8,9,0,0,7,2,12,1,1,0,7,4,3,1,5,0,8,7,2,2,3,1,9,3,9,2,1,5,4,4,0,5,7,1,1,4,3,5,1,0,5,6,0,0,1,11,8,12,1,8,3,2,0,2,2,0,5,9,3,5,0,10,4,0,10,0,8,11,7,0,2,4,9,2,8,3,5,3,1,4,4,3,43,9,0,1,2,1,5,7,0,5,8,1,4,0,9,2,12,6,4,8,1,0,2,1,8,0,5,2,0,9,4,7,2,12,0,3,6,5,0,0,5,8,2,5,5,6,5,9,8,5,0,6,0,1,1,0,0,0,2,2,4,8,3,0,0,0,1,11,0,1,0,4,4,4,15,1,3,10,2,7,1,2,1,1,3,6
Megasphaera,1,5,0,4,1,3,0,0,1,1,2,4,1,1,1,0,0,2,1,0,1,1,1,1,1,0,0,3,1,0,4,0,1,0,2,2,1,1,4,1,2,1,0,1,1,0,3,4,1,5,6,1,2,0,0,2,2,0,7,3,0,3,2,1,0,0,0,1,0,1,0,0,4,2,1,1,1,1,2,0,2,3,0,0,1,1,0,1,0,1,1,2,0,3,1,1,0,0,1,1,1,4,0,1,3,0,1,0,5,1,1,0,2,0,3,0,4,3,1,1,3,3,2,3,3,7,3,1,2,4,1,0,0,1,5,2,3,4,1,1,1,2,0,0,1,2,0,2,1,1,2,1,0,7,0,0,3,2,0,0,0,2,2,0,3,1,1,5,1,1,3,1,1,0,2,3,0,2,4,0,3,1,0,1,4,0,0,4,3,1,0,4,4,3,1,0,3,3,0,5,2,2,1,1,1,0,1,0,2,1,3,4,3,0,1,1,3,2,2,3,1,1,1,1,0,0,5,1,2,1,0,1,2,3,1,0,1,0,0,2,3,1,0,0,4,1,3,0,1,4,1,4,1,5,1,1,1,1,7,3,1,0,2,0,2,2,3,3,1,1,1,7,1,1,3,2,3,1,0,0,4,2,4,4,3,0,11,0,5,2,2,3,1,4,2,2,2,1,0,4,2,0,5,4,2,4,1,2
Dialister,1,16,0,1,8,0,0,0,0,12,2,0,12,0,1,0,0,3,1,0,0,10,1,0,3,0,69,1,0,0,2,1,3,0,6,11,2,0,0,0,0,1,2,0,1,2,2,0,1,0,23,1,2,2,0,0,1,0,10,1,2,30,5,0,3,26,27,0,2,0,2,9,2,10,1,2,10,0,0,5,0,3,0,2,1,3,0,3,0,0,3,0,0,21,2,0,11,1,0,5,0,36,68,4,3,5,0,4,4,2,2,4,2,2,4,3,0,1,0,1,3,3,0,1,5,1,2,1,4,4,5,3,3,0,2,0,3,3,122,5,9,3,2,2,0,11,2,4,0,0,6,1,1,5,4,0,4,2,1,2,6,0,1,1,1,72,2,0,1,0,3,4,6,1,4,4,1,4,0,6,0,3,0,1,10,4,0,1,0,4,3,3,3,2,5,0,4,5,1,2,0,4,3,1,2,0,2,3,4,1,2,0,5,0,41,0,0,2,1,0,4,0,3,2,2,1,5,4,3,4,1,22,3,1,4,0,2,1,2,10,4,3,4,2,4,5,4,0,1,7,0,5,0,2,3,1,1,1,4,4,1,0,0,5,4,4,19,3,4,2,3,1,1,1,1,1,17,4,2,0,5,1,1,0,1,5,21,0,2,1,1,2,2,1,1,2,1,3,17,1,2,7,1,5,0,2,5,1
Anaerococcus,3,16,2,3,11,0,0,11,1,5,0,0,2,0,2,2,1,1,0,3,0,21,3,0,1,0,24,1,1,1,0,1,1,0,2,0,13,0,1,2,2,4,1,0,0,2,1,1,0,1,15,0,0,0,1,2,1,0,14,2,0,130,4,1,1,202,2,0,1,0,7,25,4,7,2,0,6,1,1,16,1,0,0,7,0,0,0,2,0,0,0,0,0,28,1,0,18,0,0,0,0,25,121,0,0,0,0,1,0,0,4,0,0,0,1,0,2,0,0,0,0,3,0,2,0,0,0,0,0,2,0,1,0,0,2,0,4,3,41,2,1,3,0,0,1,2,0,0,1,0,20,0,0,4,0,1,0,0,1,0,0,0,1,0,0,5,0,0,0,0,2,1,7,1,1,0,2,1,7,6,1,0,2,0,63,0,3,1,0,0,1,2,2,1,2,0,0,0,0,0,1,2,0,0,1,0,0,3,0,0,0,0,0,0,104,0,0,4,1,3,4,0,0,1,0,0,0,1,3,1,2,22,0,9,1,0,3,0,0,3,0,0,0,1,0,0,4,0,1,0,1,6,0,0,1,2,1,1,2,5,3,0,0,8,0,0,15,0,1,1,0,0,0,0,0,0,18,5,2,0,0,2,0,1,0,2,1,0,0,0,0,4,1,1,0,0,1,0,9,2,0,11,1,2,1,1,2,1
Veillonella,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2,0,0,0,0,31,2,2,0,0,47,0,0,0,1,3,1,1,3,1,5,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,13,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,3,0,2,1,0,0,1,0,0,2,0,0,0,0,0,1,0,2,0,1,0,0,1,8,0,2,1,0,1,7,1,1,2,6,1,1,1,1,3,9,0,1,7,1,0,7,2,2,1,1,0,1,1,4,0,2,2,6,2,0,5,1,1,2,2,7,1,1,0,0,1,0,0,3,0,0,0,0,1,2,6,5,0,5,2,0,0,0,3,0,3,1,4,0,0,1,1,42,0,1,2,0,0,1,1,2,1,2,0,1,2,1,1,5,0,2,6,1,0,0,3,0,0,1,0,3,4,5,0,2,0,0,0,4,1,0,0,0,0,3,0,0,2,0,0,0,0,0,7,0,0,2,1,1,0,3,0,6,2,0,0,0,0,2,0,5,0,5,1,0,1,3,6,0,1,1,0,0,1,1,0,2,2,2,0,0,8,2,6,5,0,2,3,3,2,48,0,1,0,0,0,1,3,0,1,0,0,1,0,0,0,1,1,1,0,1,0,2,1,3,0,3,2,2,2,1,3
Fastidiosipila,1,3,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,2,0,0,0,0,0,0,1,1,0,1,0,0,0,0,2,1,1,0,3,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,2,0,0,0,1,0,0,2,0,0,3,0,2,1,0,0,0,0,0,1,1,2,0,4,2,0,0,0,1,0,1,0,1,0,0,1,0,0,2,0,3,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,2,1,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,2,1,0,0,0,0,0,0
